# Marker IDs can be arbitrary strings.
# Marker ID,	Time (in s)
1,	5.3350
2,	27.6200
3,	45.1900
4,	65.6920
5,	85.3440
_ch0_neuron0,	0.2588
_ch0_neuron0,	0.3242
_ch0_neuron0,	0.4724
_ch0_neuron0,	0.8672
_ch0_neuron0,	1.4339
_ch0_neuron0,	1.8297
_ch0_neuron0,	2.6851
_ch0_neuron0,	3.8999
_ch0_neuron0,	4.0277
_ch0_neuron0,	5.1253
_ch0_neuron0,	5.6310
_ch0_neuron0,	5.6344
_ch0_neuron0,	5.6381
_ch0_neuron0,	5.6468
_ch0_neuron0,	5.6510
_ch0_neuron0,	5.6543
_ch0_neuron0,	5.6575
_ch0_neuron0,	5.6605
_ch0_neuron0,	5.6622
_ch0_neuron0,	5.6636
_ch0_neuron0,	5.6667
_ch0_neuron0,	5.6697
_ch0_neuron0,	5.6729
_ch0_neuron0,	5.6748
_ch0_neuron0,	5.6761
_ch0_neuron0,	5.6794
_ch0_neuron0,	5.6826
_ch0_neuron0,	5.6860
_ch0_neuron0,	5.6893
_ch0_neuron0,	5.6928
_ch0_neuron0,	5.6962
_ch0_neuron0,	5.6977
_ch0_neuron0,	5.6996
_ch0_neuron0,	5.7017
_ch0_neuron0,	5.7029
_ch0_neuron0,	5.7050
_ch0_neuron0,	5.7062
_ch0_neuron0,	5.7072
_ch0_neuron0,	5.7085
_ch0_neuron0,	5.7101
_ch0_neuron0,	5.7117
_ch0_neuron0,	5.7130
_ch0_neuron0,	5.7145
_ch0_neuron0,	5.7182
_ch0_neuron0,	5.7210
_ch0_neuron0,	5.7283
_ch0_neuron0,	5.7302
_ch0_neuron0,	5.7319
_ch0_neuron0,	5.7346
_ch0_neuron0,	5.7361
_ch0_neuron0,	5.7387
_ch0_neuron0,	5.7420
_ch0_neuron0,	5.7451
_ch0_neuron0,	5.7467
_ch0_neuron0,	5.7504
_ch0_neuron0,	5.7577
_ch0_neuron0,	5.7610
_ch0_neuron0,	5.7630
_ch0_neuron0,	5.7653
_ch0_neuron0,	5.7677
_ch0_neuron0,	5.7689
_ch0_neuron0,	5.7748
_ch0_neuron0,	5.7763
_ch0_neuron0,	5.7792
_ch0_neuron0,	5.7823
_ch0_neuron0,	5.7840
_ch0_neuron0,	5.7861
_ch0_neuron0,	5.7880
_ch0_neuron0,	5.7899
_ch0_neuron0,	5.7912
_ch0_neuron0,	5.7954
_ch0_neuron0,	5.7994
_ch0_neuron0,	5.8032
_ch0_neuron0,	5.8110
_ch0_neuron0,	5.8149
_ch0_neuron0,	5.8167
_ch0_neuron0,	5.8187
_ch0_neuron0,	5.8227
_ch0_neuron0,	5.8256
_ch0_neuron0,	5.8348
_ch0_neuron0,	5.8388
_ch0_neuron0,	5.8429
_ch0_neuron0,	5.8470
_ch0_neuron0,	5.8510
_ch0_neuron0,	5.8550
_ch0_neuron0,	5.8591
_ch0_neuron0,	5.8633
_ch0_neuron0,	5.8719
_ch0_neuron0,	5.8756
_ch0_neuron0,	5.8783
_ch0_neuron0,	5.8805
_ch0_neuron0,	5.8833
_ch0_neuron0,	5.8847
_ch0_neuron0,	5.8862
_ch0_neuron0,	5.8892
_ch0_neuron0,	5.8934
_ch0_neuron0,	5.8978
_ch0_neuron0,	5.9022
_ch0_neuron0,	5.9066
_ch0_neuron0,	5.9110
_ch0_neuron0,	5.9153
_ch0_neuron0,	5.9190
_ch0_neuron0,	5.9243
_ch0_neuron0,	5.9288
_ch0_neuron0,	5.9334
_ch0_neuron0,	5.9356
_ch0_neuron0,	5.9428
_ch0_neuron0,	5.9473
_ch0_neuron0,	5.9520
_ch0_neuron0,	5.9566
_ch0_neuron0,	5.9666
_ch0_neuron0,	5.9715
_ch0_neuron0,	5.9764
_ch0_neuron0,	5.9875
_ch0_neuron0,	5.9918
_ch0_neuron0,	5.9968
_ch0_neuron0,	6.0017
_ch0_neuron0,	6.0122
_ch0_neuron0,	6.0172
_ch0_neuron0,	6.0225
_ch0_neuron0,	6.0281
_ch0_neuron0,	6.0335
_ch0_neuron0,	6.0390
_ch0_neuron0,	6.0441
_ch0_neuron0,	6.0496
_ch0_neuron0,	6.0553
_ch0_neuron0,	6.0608
_ch0_neuron0,	6.0676
_ch0_neuron0,	6.0721
_ch0_neuron0,	6.0780
_ch0_neuron0,	6.0803
_ch0_neuron0,	6.0835
_ch0_neuron0,	6.0863
_ch0_neuron0,	6.0888
_ch0_neuron0,	6.0948
_ch0_neuron0,	6.0966
_ch0_neuron0,	6.1010
_ch0_neuron0,	6.1071
_ch0_neuron0,	6.1130
_ch0_neuron0,	6.1250
_ch0_neuron0,	6.1315
_ch0_neuron0,	6.1379
_ch0_neuron0,	6.1438
_ch0_neuron0,	6.1567
_ch0_neuron0,	6.1590
_ch0_neuron0,	6.1641
_ch0_neuron0,	6.1661
_ch0_neuron0,	6.1705
_ch0_neuron0,	6.1773
_ch0_neuron0,	6.1792
_ch0_neuron0,	6.1815
_ch0_neuron0,	6.1851
_ch0_neuron0,	6.1919
_ch0_neuron0,	6.1994
_ch0_neuron0,	6.2061
_ch0_neuron0,	6.2135
_ch0_neuron0,	6.2209
_ch0_neuron0,	6.2286
_ch0_neuron0,	6.2365
_ch0_neuron0,	6.2444
_ch0_neuron0,	6.2618
_ch0_neuron0,	6.2702
_ch0_neuron0,	6.2892
_ch0_neuron0,	6.2985
_ch0_neuron0,	6.3058
_ch0_neuron0,	6.3154
_ch0_neuron0,	6.3240
_ch0_neuron0,	6.3346
_ch0_neuron0,	6.3429
_ch0_neuron0,	6.3575
_ch0_neuron0,	6.3727
_ch0_neuron0,	6.3821
_ch0_neuron0,	6.3986
_ch0_neuron0,	6.4096
_ch0_neuron0,	6.4247
_ch0_neuron0,	6.4402
_ch0_neuron0,	6.4570
_ch0_neuron0,	6.4720
_ch0_neuron0,	6.4809
_ch0_neuron0,	6.4827
_ch0_neuron0,	6.5013
_ch0_neuron0,	6.5177
_ch0_neuron0,	6.5315
_ch0_neuron0,	6.5467
_ch0_neuron0,	6.5606
_ch0_neuron0,	6.5969
_ch0_neuron0,	6.6349
_ch0_neuron0,	6.6511
_ch0_neuron0,	6.6674
_ch0_neuron0,	6.6811
_ch0_neuron0,	6.7059
_ch0_neuron0,	6.7221
_ch0_neuron0,	6.7517
_ch0_neuron0,	6.7805
_ch0_neuron0,	6.7968
_ch0_neuron0,	6.8467
_ch0_neuron0,	6.8759
_ch0_neuron0,	6.8995
_ch0_neuron0,	6.9359
_ch0_neuron0,	6.9569
_ch0_neuron0,	7.0054
_ch0_neuron0,	7.0311
_ch0_neuron0,	7.0422
_ch0_neuron0,	7.1161
_ch0_neuron0,	7.1695
_ch0_neuron0,	7.2156
_ch0_neuron0,	7.2566
_ch0_neuron0,	7.3449
_ch0_neuron0,	7.4066
_ch0_neuron0,	7.5018
_ch0_neuron0,	7.5559
_ch0_neuron0,	7.5790
_ch0_neuron0,	7.6124
_ch0_neuron0,	8.4574
_ch0_neuron0,	8.5302
_ch0_neuron0,	8.8285
_ch0_neuron0,	9.2481
_ch0_neuron0,	10.4112
_ch0_neuron0,	11.2577
_ch0_neuron0,	11.5638
_ch0_neuron0,	11.9692
_ch0_neuron0,	11.9884
_ch0_neuron0,	12.7526
_ch0_neuron0,	20.4184
_ch0_neuron0,	21.9384
_ch0_neuron0,	23.6885
_ch0_neuron0,	25.7593
_ch0_neuron0,	27.5499
_ch0_neuron0,	27.5587
_ch0_neuron0,	27.5618
_ch0_neuron0,	27.5646
_ch0_neuron0,	27.5673
_ch0_neuron0,	27.5703
_ch0_neuron0,	27.5735
_ch0_neuron0,	27.5768
_ch0_neuron0,	27.5801
_ch0_neuron0,	27.5834
_ch0_neuron0,	27.5869
_ch0_neuron0,	27.5912
_ch0_neuron0,	27.5940
_ch0_neuron0,	27.5976
_ch0_neuron0,	27.5995
_ch0_neuron0,	27.6012
_ch0_neuron0,	27.6049
_ch0_neuron0,	27.6086
_ch0_neuron0,	27.6123
